date,open,high,low,close,volume,Name
21-04-2017,3.849999905,3.980999947,3.769999981,3.809999943,31200,RIOT
24-04-2017,3.829999924,4.210000038,3.829999924,3.849999905,12700,RIOT
25-04-2017,3.680000067,4.050000191,3.680000067,3.75999999,12500,RIOT
26-04-2017,3.799999952,4.039999962,3.710000038,3.75999999,24900,RIOT
27-04-2017,3.730000019,3.900000095,3.720000029,3.720000029,12100,RIOT
28-04-2017,3.680000067,3.75,3.539999962,3.650000095,18300,RIOT
01-05-2017,3.700000048,3.75,3.630000114,3.660000086,26500,RIOT
02-05-2017,3.700000048,3.769999981,3.599999905,3.75999999,21700,RIOT
03-05-2017,3.75999999,3.809999943,3.619999886,3.75,17100,RIOT
04-05-2017,3.710000038,3.730000019,3.650000095,3.710000038,17600,RIOT
05-05-2017,3.619999886,3.75999999,3.470000029,3.75999999,17300,RIOT
08-05-2017,3.599999905,4.150000095,3.599999905,3.74000001,36800,RIOT
09-05-2017,3.859999895,4.099999905,3.680000067,3.789999962,51000,RIOT
10-05-2017,3.819999933,3.828000069,3.5,3.650000095,30500,RIOT
11-05-2017,3.599999905,3.619999886,3.517999887,3.539999962,10400,RIOT
12-05-2017,3.529999971,3.769000053,3.400000095,3.619999886,28200,RIOT
15-05-2017,3.630000114,3.778000116,3.630000114,3.700000048,4800,RIOT
16-05-2017,3.5,3.650000095,3.450000048,3.5,8200,RIOT
17-05-2017,3.430000067,3.559999943,3.410000086,3.420000076,13500,RIOT
18-05-2017,3.420000076,3.700000048,3.410000086,3.630000114,11000,RIOT
19-05-2017,3.457000017,3.630000114,3.457000017,3.630000114,3100,RIOT
22-05-2017,3.933000088,3.933000088,3.559999943,3.650000095,4600,RIOT
23-05-2017,3.75,3.75,3.551000118,3.589999914,6100,RIOT
24-05-2017,3.559999943,3.650000095,3.50999999,3.519999981,2800,RIOT
25-05-2017,3.589999914,3.789999962,3.579999924,3.630000114,2700,RIOT
26-05-2017,3.480000019,3.690000057,3.480000019,3.619999886,29400,RIOT
30-05-2017,3.697000027,3.710000038,3.609999895,3.704999924,1200,RIOT
31-05-2017,3.599999905,3.940000057,3.599999905,3.890000105,59400,RIOT
01-06-2017,3.844000101,3.900000095,3.799999952,3.799999952,1100,RIOT
02-06-2017,3.849999905,3.950000048,3.780999899,3.910000086,14600,RIOT
05-06-2017,3.890000105,3.960000038,3.880000114,3.950000048,11600,RIOT
06-06-2017,3.930000067,3.940000057,3.799999952,3.930000067,24000,RIOT
07-06-2017,3.980000019,3.99000001,3.776000023,3.950000048,11100,RIOT
08-06-2017,3.980000019,4.039999962,3.900000095,4.010000229,20500,RIOT
09-06-2017,3.980000019,4,3.940000057,4,6500,RIOT
12-06-2017,4,4,3.799999952,3.980000019,7300,RIOT
13-06-2017,3.796999931,4.039999962,3.796999931,4.019999981,6300,RIOT
14-06-2017,3.99000001,4,3.930000067,3.930000067,7000,RIOT
15-06-2017,3.964999914,4.119999886,3.950000048,4.03000021,21600,RIOT
16-06-2017,4.099999905,4.110000134,3.589999914,3.589999914,37900,RIOT
19-06-2017,3.839999914,4.099999905,3.75,4,19100,RIOT
20-06-2017,3.930000067,4.050000191,3.890000105,4.010000229,9300,RIOT
21-06-2017,4.050000191,4.070000172,3.901000023,3.901000023,28800,RIOT
22-06-2017,3.839999914,4.099999905,3.839999914,3.940000057,18900,RIOT
23-06-2017,3.99000001,4,3.910000086,3.940000057,22300,RIOT
26-06-2017,4,4.012000084,3.900000095,4.008999825,15500,RIOT
27-06-2017,3.910000086,4.050000191,3.910000086,4,6200,RIOT
28-06-2017,3.970000029,4.010000229,3.930000067,3.99000001,6000,RIOT
29-06-2017,3.960000038,4.039999962,3.950000048,3.99000001,4600,RIOT
30-06-2017,3.950000048,4.090000153,3.710000038,4.079999924,17800,RIOT
03-07-2017,4.03000021,4.03000021,3.650000095,3.869999886,17500,RIOT
05-07-2017,4.09800005,4.09800005,3.900000095,3.920000076,2600,RIOT
06-07-2017,3.900000095,3.900000095,3.900000095,3.900000095,3300,RIOT
07-07-2017,3.910000086,4.037000179,3.910000086,3.960000038,18500,RIOT
10-07-2017,4.039999962,4.039999962,3.839999914,3.839999914,7400,RIOT
11-07-2017,3.75,3.829999924,3.720000029,3.75,4600,RIOT
12-07-2017,3.799999952,3.799999952,3.650000095,3.650000095,25300,RIOT
13-07-2017,3.609999895,4.041999817,3.609999895,3.829999924,50400,RIOT
14-07-2017,4,4.119999886,3.829999924,3.910000086,33100,RIOT
17-07-2017,3.970000029,4.090000153,3.970000029,4,7500,RIOT
18-07-2017,3.960000038,4.059999943,3.960000038,4.019999981,4600,RIOT
19-07-2017,4.019999981,4.090000153,3.934999943,4.019999981,5500,RIOT
20-07-2017,3.940000057,3.950000048,3.940000057,3.950000048,800,RIOT
21-07-2017,3.976999998,3.980000019,3.859999895,3.859999895,13000,RIOT
24-07-2017,3.940000057,3.970000029,3.700000048,3.910000086,11400,RIOT
25-07-2017,3.815999985,3.910000086,3.710000038,3.809999943,9600,RIOT
26-07-2017,3.779999971,3.779999971,3.539999962,3.700000048,22600,RIOT
27-07-2017,3.519999981,3.650000095,3.519999981,3.619999886,12500,RIOT
28-07-2017,3.5,3.799999952,3.5,3.769999981,20600,RIOT
31-07-2017,3.779999971,3.779999971,3.561000109,3.74000001,11000,RIOT
01-08-2017,3.680000067,3.720000029,3.609999895,3.710000038,10200,RIOT
02-08-2017,3.730000019,3.730000019,3.690000057,3.690000057,1500,RIOT
03-08-2017,3.75,3.890000105,3.710000038,3.74000001,6300,RIOT
