date,open,high,low,close,volume,Name
01-03-2021,19.73999977,19.85000038,19.04999924,19.34000015,4422200,SOFI
02-03-2021,19.39999962,19.61000061,18.62000084,18.77000046,3809000,SOFI
03-03-2021,18.78000069,19,17.10000038,17.21999931,7175500,SOFI
04-03-2021,17.29999924,17.57999992,14.75,16.05999947,15322900,SOFI
05-03-2021,16.40999985,17.87999916,13.14000034,17.71999931,18226600,SOFI
08-03-2021,16.84000015,17.70000076,15.76000023,16.11000061,7871800,SOFI
09-03-2021,17.25,18.38999939,16.54999924,17.47999954,8573200,SOFI
10-03-2021,18.28000069,19.47999954,17.79999924,19.05999947,7508200,SOFI
11-03-2021,19.5,19.81999969,18.70000076,19.36000061,4959600,SOFI
12-03-2021,18.37999916,19.29000092,18.13999939,19.02000046,2859100,SOFI
15-03-2021,19.02000046,19.57999992,18.46999931,19.47999954,3515900,SOFI
16-03-2021,19.27000046,19.47999954,18.01000023,18.45000076,3023700,SOFI
17-03-2021,17.61000061,19.35499954,17.5,19.14999962,3651400,SOFI
18-03-2021,18.5,19.10000038,18.04999924,18.13999939,2999200,SOFI
19-03-2021,17.77000046,18.43000031,17.05999947,18.25,3667400,SOFI
22-03-2021,18.28000069,18.48999977,17.81999969,18.27000046,2317000,SOFI
23-03-2021,17.95999908,18.18000031,17.27000046,17.89999962,2939000,SOFI
24-03-2021,17.55999947,17.81900024,16.25,16.47999954,4642100,SOFI
25-03-2021,15.69999981,16.79000092,15.10999966,16.62999916,5364400,SOFI
26-03-2021,17.13999939,17.71999931,16.52000046,17.10000038,4598700,SOFI
29-03-2021,16.97999954,17.09000015,16.21999931,16.44000053,2827900,SOFI
30-03-2021,16.27000046,17.21999931,15.89999962,16.5,2634400,SOFI
31-03-2021,16.96999931,17.36000061,16.68000031,17.14999962,2665300,SOFI
01-04-2021,17.51000023,17.63999939,16.90999985,17.27000046,2322600,SOFI
05-04-2021,17.73999977,17.84000015,16.65999985,16.71999931,2506600,SOFI
06-04-2021,16.51000023,17.3029995,16.5,17.26000023,1849500,SOFI
07-04-2021,17.25,17.37000084,16.89999962,17.20000076,1988100,SOFI
08-04-2021,17.03000069,18.63999939,17.02000046,18.13999939,2527700,SOFI
09-04-2021,17.95999908,18.26000023,17.60000038,17.77000046,1655000,SOFI
12-04-2021,17.87000084,17.95999908,16.85000038,17,2309300,SOFI
13-04-2021,16.65999985,17.04999924,16.51000023,16.82999992,2235000,SOFI
14-04-2021,16.94000053,17.23999977,16.45999908,16.68000031,2418200,SOFI
15-04-2021,16.75,16.87000084,16.22999954,16.28000069,2088900,SOFI
16-04-2021,16.13999939,16.44000053,15.93000031,16.31999969,2167000,SOFI
19-04-2021,16.04000092,16.12000084,15.15999985,15.39000034,3816600,SOFI
20-04-2021,15.5,15.84000015,14.73999977,14.86999989,3430900,SOFI
21-04-2021,14.85000038,15.77999973,14.69999981,15.21000004,3494000,SOFI
22-04-2021,15.93999958,16.46999931,15.39999962,15.84000015,3141200,SOFI
23-04-2021,16.38999939,16.62999916,15.61999989,16.17000008,3029400,SOFI
26-04-2021,16.47999954,16.87000084,16.02000046,16.68000031,1964800,SOFI
27-04-2021,17.14999962,17.54999924,16.75,17.39999962,2583000,SOFI
28-04-2021,17.25,17.70000076,17.05999947,17.54999924,1771200,SOFI
29-04-2021,17.87000084,17.87000084,16.81500053,17.43000031,2095200,SOFI
30-04-2021,17,17.37000084,16.94000053,17,1385100,SOFI
03-05-2021,17,17.14999962,16.18000031,16.37000084,1636500,SOFI
04-05-2021,16.19000053,16.39999962,15.71000004,16.17000008,1985800,SOFI
05-05-2021,16.23999977,16.29999924,15.47999954,15.53999996,290200,SOFI
06-05-2021,15.5,15.55900002,14.89999962,15,2630300,SOFI
07-05-2021,15.19999981,16.98800087,14.86999989,16.51000023,5987800,SOFI
10-05-2021,17.39999962,17.55400085,16.27000046,16.37000084,4997000,SOFI
11-05-2021,15.14999962,16.32999992,15.07999992,15.17000008,5043000,SOFI
12-05-2021,15.13000011,15.55000019,14.89999962,15.05000019,4218100,SOFI
13-05-2021,15.19999981,15.44999981,14.14000034,14.60999966,3765200,SOFI
14-05-2021,14.96000004,15.48999977,14.61999989,14.93999958,2838700,SOFI
17-05-2021,15.02000046,15.89999962,14.94999981,15.47999954,2563400,SOFI
18-05-2021,16,17.39999962,15.80000019,16.79999924,5163700,SOFI
19-05-2021,16.30999947,17.73999977,16.20000076,17.43000031,4685700,SOFI
20-05-2021,17.75,18.75,17.75,18.39999962,5498600,SOFI
21-05-2021,18.70000076,18.85000038,18.28000069,18.78000069,3054800,SOFI
24-05-2021,19,20.07999992,18.87000084,19.78000069,5276200,SOFI
25-05-2021,20.5,21.79999924,19.84000015,20.18000031,9338500,SOFI
26-05-2021,20.04000092,20.28000069,19.01000023,19.89999962,6073300,SOFI
27-05-2021,19.87999916,20.04000092,19.25,19.79000092,4097900,SOFI
28-05-2021,19.77000046,20.64999962,19.29999924,20.14999962,5370500,SOFI
01-06-2021,21.97400093,22.89999962,20.43000031,22.64999962,9159400,SOFI
02-06-2021,23.65999985,24.95000076,22.64999962,23.20999908,14678900,SOFI
03-06-2021,22.84000015,23.5,22.35000038,22.68000031,5879000,SOFI
04-06-2021,22.87100029,22.87100029,20,20.81999969,13434200,SOFI
07-06-2021,20.70299911,21.4659996,20.30999947,21.20999908,4755400,SOFI
08-06-2021,21.02000046,24.20000076,20.64999962,23.88999939,11306900,SOFI
09-06-2021,24.25,24.45999908,22.22999954,22.70999908,9407300,SOFI
10-06-2021,22.82999992,23.39999962,21.43000031,23.02000046,6526500,SOFI
11-06-2021,23.10000038,23.29999924,22.15800095,22.39999962,2769400,SOFI
14-06-2021,22.25,22.57999992,21.38999939,21.81999969,4099800,SOFI
15-06-2021,21.59000015,21.68000031,20.69000053,20.79999924,3531200,SOFI
16-06-2021,21.20999908,22.63999939,21.10000038,21.82999992,9596000,SOFI
17-06-2021,22,23.27000046,21.39999962,22.70000076,7359600,SOFI
18-06-2021,22.71999931,23.68000031,22.21999931,23.04000092,5991500,SOFI
21-06-2021,22.81999969,23.20000076,22.21999931,22.51000023,3590300,SOFI
22-06-2021,22.65999985,22.81999969,21.09000015,21.20000076,6586300,SOFI
23-06-2021,21.32999992,21.70000076,20.89999962,21.39999962,5328500,SOFI
24-06-2021,21.52000046,21.64999962,20.80999947,20.87000084,6475100,SOFI
25-06-2021,19.77000046,19.89999962,18.5,18.5,36679200,SOFI
28-06-2021,18.17000008,19.96999931,17.64999962,19.26000023,56821000,SOFI
29-06-2021,20.52000046,20.98999977,18.63999939,18.87000084,57158300,SOFI
30-06-2021,19.32600021,19.79999924,19,19.17000008,27479600,SOFI
01-07-2021,19.22999954,19.23999977,18.15999985,18.25,19839100,SOFI
02-07-2021,18.27499962,18.57999992,17.75,18.07999992,25687900,SOFI
06-07-2021,18.08499908,18.08499908,17.21999931,17.35000038,20245500,SOFI
07-07-2021,17.55999947,17.57999992,16.79999924,16.94000053,17530000,SOFI
08-07-2021,16.29999924,16.79999924,16.10000038,16.62000084,18443700,SOFI
09-07-2021,16.92000008,17.29999924,16.43000031,16.45000076,17663000,SOFI
12-07-2021,16.51000023,16.84000015,16.21999931,16.42000008,14071000,SOFI
13-07-2021,16.37999916,16.62000084,15.80000019,16,16623000,SOFI
14-07-2021,16.04899979,16.21500015,15.36999989,15.52000046,19069000,SOFI
15-07-2021,15.61999989,16.42000008,15.44999981,15.98999977,16186000,SOFI
16-07-2021,16.10000038,16.19000053,15.22000027,15.30000019,14214600,SOFI
19-07-2021,15,15.52999973,14.86999989,15.17000008,14780900,SOFI
20-07-2021,15.18000031,15.28999996,14.93900013,15.06000042,11683000,SOFI
21-07-2021,15.14000034,16.64999962,15.10400009,16.55999947,27892400,SOFI
22-07-2021,16.48999977,16.60000038,15.71000004,16.04999924,18833300,SOFI
23-07-2021,15.89000034,16.04899979,15.43999958,15.69999981,10370000,SOFI
26-07-2021,15.76000023,16.09000015,15.47999954,15.51000023,8994900,SOFI
27-07-2021,15.48999977,15.5,14.72000027,14.92000008,16735400,SOFI
28-07-2021,15.11999989,15.47900009,15.07999992,15.36999989,10131600,SOFI
29-07-2021,15.875,16.23999977,15.51000023,15.60000038,12748300,SOFI
30-07-2021,15.35499954,15.78999996,15.35000038,15.43999958,6653700,SOFI
02-08-2021,15.57999992,16.31999969,15.40999985,15.72999954,15097600,SOFI
03-08-2021,15.77000046,16.04899979,15.01000023,15.10999966,16166800,SOFI
04-08-2021,15.22999954,16.57999992,15.19999981,16.38999939,25718500,SOFI
05-08-2021,16.60499954,16.72999954,15.88000011,16.05999947,14501500,SOFI
06-08-2021,16.05999947,16.94000053,16.05999947,16.70999908,13993700,SOFI
09-08-2021,16.98999977,17.31999969,16.55999947,16.90999985,15571300,SOFI
10-08-2021,17.02000046,17.27000046,16.55999947,16.98999977,12830200,SOFI
